longName,address,city,region,postalCode,lat,lng
Providence Airport (PVD) Gate 7,2000 Post Rd,Warwick,RI,02886,41.72716923058033,-71.43861472606659
Nashua,220 Daniel Webster Hwy,Nashua,NH,03060,42.71329,-71.44138
Salem,290 S Broadway,Salem,NH,03079,42.75865,-71.21384
Manchester,1500 S Willow St,Manchester,NH,03103,42.95693,-71.43094
Concord,78 Damante Dr,Concord,NH,03301,43.21849,-71.48579
Lebanon,274 Plainfield Rd,West Lebanon,NH,03784,43.62601,-72.32546
Portsmouth,45 Gosling Rd,Newington,NH,03801,43.09463,-70.79889
Portland Jetport Airport (PWM) Gate 10,1001 Westbrook St,Portland,ME,04102,43.6506624519825,-70.30973263084888
Portland,364 Maine Mall Rd,South Portland,ME,04106,43.63429,-70.33656
Augusta,14 Crossing Way,Augusta,ME,04330,44.30895,-69.80696
Bangor,45 Bangor Mall Blvd,Bangor,ME,04401,44.8368,-68.74571
Burlington Airport (BTV) Gate 11,1200 Airport Dr,S Burlington,VT,05403,44.46836069226265,-73.15648846328259
Williston,26 Cypress St,Williston,VT,05495,44.44466,-73.10967
Manchester,120 Slater St,Manchester,CT,06042,41.80726,-72.5353
Enfield,95 Elm St,Enfield,CT,06082,41.99996,-72.58431
West Simsbury,44A Albany Tpke,West Simsbury,CT,06092,41.81936,-72.86954
West Hartford,1501 New Britain Ave,West Hartford,CT,06110,41.72321,-72.75882
Newington,3377 Berlin Tpke,Newington,CT,06111,41.65577,-72.72641
Waterford,913 Hartford Tpke,Waterford,CT,06385,41.38155,-72.15209
Connecticut Turnpike,I95 Northbound,Branford,CT,06405,,
Meriden,470 Lewis Ave,Meriden,CT,06451,41.55098,-72.80943
Connecticut Turnpike Milford Southbound,I95 Northbound Past Exit 40,Milford,CT,06460,41.2340004829582,-73.0313715004867
North Haven,398 Universal Dr N,North Haven,CT,06473,41.35479,-72.8739
Orange,53 Boston Post Rd,Orange,CT,06477,41.27969,-72.98848
Trumbull,100 Hawley Ln,Trumbull,CT,06611,41.23267,-73.15244
Danbury,2 International Dr,Danbury,CT,06810,41.41726,-73.4181
Connecticut Turnpike,I-95 Northbound Past Exit 12,Darien,CT,06820,,
Connecticut Turnpike,I-95 Southbound Past Exit 10,Darien,CT,06820,,
Norwalk,330 Connecticut Ave,Norwalk,CT,06854,41.10354,-73.43846
Garden State Parkway,1339 N Broad St,Bloomfield,NJ,07003,40.69609925150871,-74.21598047018051
Union,2391 US Highway 22 W,Union,NJ,07083,40.69128,-74.2962
Vauxhall,2255 Springfield Ave,Vauxhall,NJ,07088,40.71636,-74.28626
Secaucus,925 Patterson Plank Rd,Secaucus,NJ,07094,40.78131,-74.04517
Newark Liberty Airport (EWR) Gate C120,Newark Liberty Intl Airport,Newark,NJ,07114,40.6927604675293,-74.18506622314453
Newark Liberty Airport (EWR) Terminal B,10 Toler Pl,Newark,NJ,07114,40.710061,-74.190542
