index,address,city,region,postalcode,lat,lng
124,300 Ridge Rd,Piscataway,NJ,8854,40.3723,-74.4853
125,1202 New Brunswick Ave,Phillipsburg,NJ,8865,40.67463,-75.13525
126,52 E 14th St,New York,NY,10003,40.73419,-73.99015
127,60 W 23rd St,New York,NY,10010,40.74264,-73.9927
128,622 Broadway,New York,NY,10012,40.72578,-73.9961
129,529 5th Ave,New York,NY,10017,40.75418,-73.97993
130,1880 Broadway,New York,NY,10023,40.77024,-73.98172
131,1280 Lexington Ave,New York,NY,10028,40.77974,-73.95566
132,2795 Richmond Ave,Staten Island,NY,10314,40.57675,-74.16736
133,610 Exterior St,Bronx,NY,10451,40.82173,-73.92997
134,402 E Fordham Rd,Bronx,NY,10458,40.86136,-73.89141
135,299 N Central Ave,Hartsdale,NY,10530,41.02699,-73.79254
136,3105 E Main St,Mohegan Lake,NY,10547,41.31083,-73.87128
137,555 E Sandford Blvd,Mount Vernon,NY,10550,40.90204,-73.81959
138,2478 Central Park Ave,Yonkers,NY,10710,40.9814,-73.8277
139,1100 N Galleria Dr,Middletown,NY,10941,41.45545,-74.37262
140,128 Bailey Farm Rd,Monroe,NY,10950,41.31601,-74.15185
141,1240 Palisades Center Dr,West Nyack,NY,10994,41.09808,-73.9578
142,5001 Northern Blvd,Long Island City,NY,11101,40.7536,-73.91196
143,8923 Bay Pkwy,Brooklyn,NY,11214,40.59367,-73.99899
144,625 Atlantic Ave,Brooklyn,NY,11217,40.68345,-73.97417
145,5102 Avenue U,Brooklyn,NY,11234,40.60988,-73.9217
146,369 Gateway Dr,Brooklyn,NY,11239,40.65156,-73.87267
147,13107 40th Rd,Flushing,NY,11354,40.75662,-73.83698
148,Laguardia Intl Airport,Flushing,NY,11369,40.764919,-73.872784
149,Laguardia Intl Airport,Flushing,NY,11369,40.764919,-73.872784
150,Laguarida Airport,Flushing,NY,11371,40.77307892,-73.87563324
151,8801 Queens Blvd,Elmhurst,NY,11373,40.73541,-73.87445
152,John F Kennedy Intl Airport,Jamaica,NY,11430,40.64364597,-73.79009195
153,John F Kennedy Intl Airport,Jamaica,NY,11430,40.64364597,-73.79009195
154,JFK International Airport,Jamaica,NY,11430,40.64364597,-73.79009195
155,JFK International Airport,Jamaica,NY,11430,40.64364597,-73.79009195
156,JFK International Airport,Jamaica,NY,11430,40.64364597,-73.79009195
